CustomerID,Country,TotalQuantity,TotalSpent,Frequency,AvgTicket,UniqueProducts,AvgUnitPrice,Recency,LastPurchase
12346,United Kingdom,74215,77183.6,1,77183.6,1,1.04,326,2011-01-18 10:01:00
12347,Iceland,2458,4310.0,7,615.7142857142857,103,2.644010989010989,2,2011-12-07 15:52:00
12348,Finland,2341,1797.24,4,449.31,22,5.764838709677419,75,2011-09-25 13:13:00
12349,Italy,631,1757.55,1,1757.55,73,8.289041095890411,19,2011-11-21 09:51:00
12350,Norway,197,334.4,1,334.4,17,3.841176470588235,310,2011-02-02 16:01:00
12352,Norway,536,2506.04,8,313.255,59,15.93070588235294,36,2011-11-03 14:37:00
12353,Bahrain,20,89.0,1,89.0,4,6.074999999999999,204,2011-05-19 17:47:00
12354,Spain,530,1079.4,1,1079.4,58,4.5037931034482765,232,2011-04-21 13:11:00
12355,Bahrain,240,459.4,1,459.4,13,4.203846153846154,214,2011-05-09 13:49:00
12356,Portugal,1591,2811.43,3,937.1433333333333,53,3.201186440677966,23,2011-11-17 08:40:00
12357,Switzerland,2708,6207.67,1,6207.67,131,3.3486259541984733,33,2011-11-06 16:07:00
12358,Austria,248,1168.06,2,584.03,13,8.27421052631579,2,2011-12-08 10:26:00
12359,Cyprus,1622,6372.58,4,1593.145,214,8.620403225806452,58,2011-10-13 12:47:00
12360,Austria,1165,2662.06,3,887.3533333333334,105,3.5496899224806198,52,2011-10-18 15:22:00
12361,Belgium,91,189.9,1,189.9,10,3.335,287,2011-02-25 13:51:00
12362,Belgium,2229,5226.23,10,522.6229999999999,201,3.94093984962406,3,2011-12-06 15:40:00
12363,Unspecified,408,552.0,2,276.0,23,2.3117391304347827,110,2011-08-22 10:18:00
12364,Belgium,1506,1313.1,4,328.275,70,1.910235294117647,8,2011-12-02 10:22:00
12365,Cyprus,174,641.38,2,320.69,22,17.150454545454547,291,2011-02-21 14:04:00
12367,Denmark,173,168.9,1,168.9,11,3.2,4,2011-12-05 16:48:00
12370,Cyprus,2353,3545.69,4,886.4225,143,2.800299401197605,51,2011-10-19 14:51:00
12371,Switzerland,591,1887.96,2,943.98,63,3.8742857142857146,45,2011-10-26 10:16:00
12372,Denmark,794,1298.04,3,432.68,34,3.001346153846154,72,2011-09-29 12:12:00
12373,Austria,197,364.6,1,364.6,14,4.582142857142857,311,2011-02-01 13:10:00
12374,Austria,342,742.9300000000001,1,742.9300000000001,33,4.21969696969697,25,2011-11-14 15:37:00
12375,Finland,178,457.5,2,228.75,14,6.912941176470589,11,2011-11-29 10:36:00
12377,Switzerland,944,1628.12,2,814.06,72,2.718831168831169,315,2011-01-28 15:45:00
12378,Switzerland,2529,4008.62,1,4008.62,219,2.9974429223744297,130,2011-08-02 10:34:00
12379,Belgium,407,852.24,2,426.12,39,2.86625,82,2011-09-19 10:09:00
12380,Belgium,1127,2724.81,4,681.2025,77,3.378653846153846,22,2011-11-18 11:27:00
12381,Norway,808,1845.31,5,369.062,70,4.683218390804598,5,2011-12-05 12:44:00
12383,Belgium,1532,1850.56,5,370.11199999999997,84,3.086969696969697,185,2011-06-08 08:02:00
12384,Switzerland,126,585.27,2,292.635,26,7.87925925925926,29,2011-11-11 08:39:00
12386,Australia,354,401.9,2,200.95,10,2.391,338,2011-01-06 12:37:00
12388,Australia,1462,2780.66,6,463.4433333333333,57,2.7777,16,2011-11-24 12:30:00
12390,Belgium,353,549.84,1,549.84,32,3.996875,80,2011-09-21 09:33:00
12391,Cyprus,300,460.89,1,460.89,92,2.4599,22,2011-11-18 12:07:00
12393,Australia,816,1582.6000000000001,4,395.65000000000003,47,2.2796875,72,2011-09-28 15:41:00
12394,Belgium,819,1272.48,2,636.24,26,3.3707407407407404,64,2011-10-07 08:08:00
12395,Belgium,2118,3018.63,12,251.5525,91,3.9688461538461537,19,2011-11-20 15:21:00
12397,Belgium,1263,2409.9,2,1204.95,110,3.4682539682539684,36,2011-11-04 09:52:00
12398,Switzerland,1394,1635.6599999999999,1,1635.6599999999999,85,1.992705882352941,46,2011-10-25 10:27:00
12399,Belgium,1178,1108.65,4,277.1625,47,2.1145762711864404,119,2011-08-12 13:15:00
12401,Belgium,11,84.3,1,84.3,5,9.68,303,2011-02-09 13:50:00
12402,Belgium,94,225.6,1,225.6,11,3.290909090909091,323,2011-01-20 13:49:00
12403,Denmark,96,427.7,1,427.7,5,7.080000000000001,50,2011-10-21 10:51:00
12405,Finland,857,1710.39,1,1710.39,54,3.5442592592592597,149,2011-07-14 08:52:00
12406,Denmark,1818,3415.3,2,1707.65,92,2.487047619047619,22,2011-11-17 19:22:00
12407,Belgium,1416,1708.1200000000001,5,341.624,57,3.2674025974025973,50,2011-10-21 10:11:00
12408,Belgium,1409,2888.55,5,577.71,81,3.0228571428571427,33,2011-11-07 12:27:00
12409,Switzerland,5551,11072.67,3,3690.89,91,3.574495412844037,79,2011-09-22 10:38:00
12410,Switzerland,211,693.3299999999999,2,346.66499999999996,26,6.335384615384616,309,2011-02-04 10:39:00
12412,Denmark,829,1226.88,3,408.96000000000004,43,2.7137704918032783,75,2011-09-26 10:16:00
12413,France,286,758.1,3,252.70000000000002,29,4.798421052631579,67,2011-10-04 09:00:00
12414,Austria,300,562.41,3,187.47,16,8.57,217,2011-05-06 14:51:00
12415,Australia,77374,124914.53,21,5948.310952380953,444,2.9370868347338934,24,2011-11-15 14:22:00
12417,Belgium,1552,3649.1,9,405.4555555555555,158,5.337916666666666,3,2011-12-06 14:52:00
12418,Switzerland,407,668.58,1,668.58,34,3.5644117647058824,113,2011-08-19 11:08:00
12420,Cyprus,345,600.39,1,600.39,29,4.707241379310345,64,2011-10-07 08:55:00
12421,Spain,484,807.04,4,201.76,32,4.520222222222222,16,2011-11-24 09:07:00
12422,Australia,370,803.5600000000001,3,267.85333333333335,39,3.26025641025641,96,2011-09-05 09:48:00
12423,Belgium,1339,1859.31,8,232.41375,97,2.9135999999999997,1,2011-12-09 10:10:00
12424,Australia,740,1760.96,2,880.48,30,2.780666666666667,163,2011-06-30 12:06:00
12425,Portugal,496,777.2,1,777.2,36,2.5644444444444443,78,2011-09-22 17:31:00
12426,Germany,258,582.73,1,582.73,30,3.9363333333333332,195,2011-05-29 12:26:00
12427,Germany,533,825.8,3,275.26666666666665,26,4.589032258064516,22,2011-11-18 08:56:00
12428,Finland,3536,7956.46,9,884.0511111111111,258,4.627414965986395,26,2011-11-14 08:22:00
12429,Denmark,1557,3750.4,4,937.6,82,3.6307216494845362,9,2011-11-30 17:22:00
12430,Norway,117,256.4,1,256.4,11,6.225454545454546,43,2011-10-27 15:09:00
12431,Australia,2906,6487.45,15,432.49666666666667,163,3.785063829787234,36,2011-11-04 11:55:00
12432,Norway,1801,5059.32,5,1011.8639999999999,107,10.550833333333333,43,2011-10-28 11:43:00
12433,Norway,11071,13375.87,7,1910.8385714285716,219,2.1927380952380955,1,2011-12-09 10:02:00
12434,Australia,394,806.14,2,403.07,46,3.6726,85,2011-09-16 12:38:00
12435,Denmark,2055,7829.89,2,3914.945,31,5.479166666666667,80,2011-09-21 09:06:00
12436,Norway,211,509.01,1,509.01,16,5.2675,100,2011-09-01 12:09:00
12437,France,2922,4951.41,18,275.0783333333333,118,4.0125628140703515,2,2011-12-08 11:35:00
12438,Norway,1180,2906.85,2,1453.425,84,3.894897959183673,14,2011-11-25 13:28:00
12441,France,121,173.55,1,173.55,11,3.700909090909091,367,2010-12-08 10:45:00
